size,kernel,avg_time_ms,tflops,bandwidth_gbps,speedup
64,PyTorch,0.023984000086784363,0.02185990652530445,1.0246831183736462,1.0
64,CUTLASS Hopper TMA Pingpong Const,0.02287999913096428,0.0229146861850385,1.0741259149236797,1.048251791859817
96,PyTorch,0.06155199930071831,0.028747595855580114,0.8983623704868786,1.0
96,CUTLASS Hopper TMA Pingpong Const,0.04177600145339966,0.04235618389600577,1.3236307467501802,1.4733817780377665
128,PyTorch,0.0605119988322258,0.06931359203038445,1.624537313212136,1.0
128,CUTLASS Hopper TMA Pingpong Const,0.03484800085425377,0.12035996031858501,2.8209365699668365,1.7364553876507185
256,PyTorch,0.02558399923145771,1.3115397517187992,15.369606465454682,1.0
256,CUTLASS Hopper TMA Pingpong Const,0.02457600086927414,1.3653332850403275,15.99999943406634,1.0410155569063235
512,PyTorch,0.026064000092446804,10.2990889751336,60.34622446367344,1.0
512,CUTLASS Hopper TMA Pingpong Const,0.027023999951779842,9.933224410856338,58.202486782361355,0.9644760264562607
768,PyTorch,0.02598400041460991,34.86644279341238,136.19704216176711,1.0
768,CUTLASS Hopper TMA Pingpong Const,0.029983999207615852,30.21510432036985,118.02775125144474,0.8665955543385302
1024,PyTorch,0.02611199952661991,82.24125639289878,240.9411808385707,1.0
1024,CUTLASS Hopper TMA Pingpong Const,0.03296000137925148,65.15423416674533,190.88154541038674,0.7922329621945214
1536,PyTorch,0.029759999364614487,243.54023745772642,475.66452628462196,1.0
1536,CUTLASS Hopper TMA Pingpong Const,0.054496001452207565,132.9961303373094,259.75806706505745,0.5460951000361687
2048,PyTorch,0.0423360001295805,405.79811818349583,594.4308371828553,1.0
2048,CUTLASS Hopper TMA Pingpong Const,0.06551999971270561,262.2080167785545,384.09377457796074,0.6461538509648485
3072,PyTorch,0.09312000125646591,622.6595544850676,608.0659711768238,1.0
3072,CUTLASS Hopper TMA Pingpong Const,0.1761920005083084,329.0845119456251,321.3715936968995,0.5285143535905014
4096,PyTorch,0.19099199771881104,719.6058217807911,527.0550452496029,1.0
4096,CUTLASS Hopper TMA Pingpong Const,0.3696479946374893,371.81035868133205,272.3220400498038,0.5166861459808954
8192,PyTorch,1.5816479921340942,695.16835177241,254.5782538229041,1.0
8192,CUTLASS Hopper TMA Pingpong Const,2.710319995880127,405.67594580984286,148.56296843622178,0.5835650382752989
